text,rating
"bertahun² mjd perusahaan operator seluler dan seiring berkembangnya kecanggihan teknologi, seharusnya telkomsel bisa semakin lebih baik dalam mmberikan pelayanan kpd semua pelanggan penggun telkomsel bahkan sampai ke pelosok² negeri namun yg saya rasakan malah sebaliknya, semakin kesini pelayanan kestabilan sinyal malah semakin buruk pdhal tarif semakin mahal. tolong jgn cuma mngejar laba, imbangi jg donk dgn kwalitas pelayanan yg lebih bagus lagi",1
mantappp,4
jaringan lelet suka hilang hilang jaringan nya tolong di perbaiki jaringan nya agar tidak terjadi leg - jaringan,1
aplikasi tolol GG bisa cek paket harus pake hotspot internet lain baru bisa,1
"harga paket mahal bgt, jaringan ga stabil. product ampas",1
lancar jaya,5
mantap,5
korup,4
tolong dong jaringan nya di naikin/diperbaikin jngn harga nya aja di naikin min jaringan nya makin lama makin gampang ngeleg🙏,1
"apk nipu, menawarkan kuota gratis, tapi malah berlangganan klik film. kan kon...",1
tolong di kasih lebih murah dong soalnya kita di kampung 🙏🙏🙏,5
Aplikasi apa ini masa saldo saya Dana saya kesedot sendiri padahal gak perna Instal sama berlangganan,1
good,5
level BUMN aplikasi nya pake Microsoft Ai gratisan sih jadi susah login .. jaringan juga parah ..,1
baguss,3
Semakin lama kok semakin ancur aja apk ini.. jaringan juga ancur paket mahal jaringan ancur suliiittt,1
"mahal doang tp loading trs , sinyal simpati kaya sinya EDGE , jangan gini trus lah kalo mau banyak pengguna , masa kalah sama sinya THREE,",1
"mytelkomsel maling pulsa wooy,kecewa saya sebagai pelanggan lama, harap di perbaiki min",1
kesini sini app nya mulai jelek tidak bisa menampilkan sisa kuota terus mau buka apk nya juga loading nya minta ampun jangan sampai pelanggan di bikin kecewa pleaseee perbaiki lagi supaya pelanggan lebih puas,1
aplikasi cacat,1
KEBANYAKAN INTERFACE LEMOOTTTT,1
"Piece of sht, loading aplikasi lama, layar ketika ingin mencoba menekan beberapa fitur suka ""Stuck"", koneksi lemot, Ntah kenapa gtw dah, banyak lemotnya entah koneksinya atau aplikasinya",2
bank tidak lengkap promo gk masuk akal mahal bgt gk ada yg 50k melepas tautan akun walet gk bisa eror dll mulu mending pindah ke tri,1
"promo menarik, pembelian paketnya juga mudah banyak pilihan paket yang sesuai kebutuhan",5
kurang baik.,3
parah. udh harga paket mahal ... mau buka aplikasi loding terus,1
"sebagai pengguna lama harga paketnya ya ampun mahal mahal, harusnya di beri promo diskon harga paket internetnya untuk pengguna lama, agar pengguna lama betah, makanya saya males beli paket karena mahal mahal,",1
lancar,5
saya baru beli paket suprise deal 60 k. tapi saya tidak bisa akses Internet. tidak bisa di gunakan. apakah kendalanya?,1
mantappp,5
terbaik,5
busuk mahala mahal.ngeleg,1
asu loading terus padahal jaringan bagus 4g+ loading terus pake wifi sama aja loading tak kira hp.ku yang rusak ehhh nyatanya apk nya yng kaya asuu,1
apk busuk berat di sinyal sialan udik dasar,1
"aplikasi jelek, buka medsos lancar tp buka aplikasi ini muser masalah jaringan terus. kocak",1
"aplikasi nya benerin lah masa mau cek kuota ga muncul"" memuat terus perbaikin bug biasanya ga kayak begini",1
jaringan kuat tapi harganya mahal,5
sering bgt lemot. padahal quota ada tp buka apk ini lamaaaa bgt,1
tolong promo nya ditingkatkan harga kuota dimurah kan sedikit,5
"Ahh parah, pulsa habis, kuota habis, mau beli pulsa / kuota di my Telkomsel, pas klik beli paket loadingnya gila, gak bisa bisa kebeli lama banget",2
Gagahh mennnn borap anjai Alok wkwkwkwk yg baca Yatim,5
masa sekelas bumn aplikasi nya jelek bgini,1
bagus,2
makin parah aja sinyal TELKOMSEL? Harga paket data mahal sinyal murahan. apalah kya gtu 😠,1
"kebayakan korupsi,dah mahal ngelag pula",1
"buset sinyal harga segitu, ga enak dipake",1
"telkomsel jaringan nya parah makin sini makin buruk,",1
aplikasi kadang ga bisa masuk,2
apk terlemot yeng pernah ada,1
CS low respon & nggak jelas lagi.,1
paket datanya sangat mahal dan jaringannya selalu ngelag,1
sinyalnya makin busuk.,1
"tong malingan pulsa atuh euy maneh nu ngajual tapi maneh nu maling na deui teu jelas aplikasi teh , masih tetap ga berubah pulsa hilang terus",1
"saya edit ulasannya, aplikasinya lemot sekali cepetan buka game mobile legend",2
sinyalnya ky kurang gizi,1
apk nya berat di buka untuk daerah perbatasan,1
"Telkomsel makin kesini makin jelek, jgn pakai kartu Telkomsel, pulsa sering tersedot, ada notif paket *363*20# giliran udah beli pulsa ga bisa daftar nge bug,malah pulsa tersedot habis, paket datanya jg mulai mahal2 dan jaringan makin busuk,",1
"miin mau nanya gimana cara aktifin kartu ,udah saya registrasi tapi masih tetap aja tidak bisa d gunakan untuk masuk ke aplikasi , bagaimana solusinya ,dan jugak kenapa kartu saya isi fulsanya itu kosong padahal aku isi terus meski jarang aku gunakan",3
apk sampah,1
bagus bisa ambil paket grati tiap bulan nya😘,5
"Skrng yg q tnykan kenapa aplikasinya susah di buka. Eror kok gk selesai"". Pengennya pengguan setia tpi kok lama"" bikin jengkel.",1
"aplikasi tidak jelas, Dan terlalu delay untuk menampilkan menu atau sisa data. tolong di perbaiki",1
"tolong signal nya lebih di prhatikan lagi, kadang suka ga ada signal nya🙏",5
bagaimana log in my IndiHome,2
aplikasi ga jelas mau login aja susah bngt ampe sekarang ga berhasil login padahal dah uninstall udh restart hp juga,1
kebanyakan iklan,1
stuck walau jaringan bagus dan ram hp 12 GB,1
pketnya udah kemahalan yah. tlong min berikan promo lagi yg murah pada pengguna yg setia sama my telkomsel,5
tdk bisa login,1
"makin ke sini makin rusak Telkomsel,saya sengaja beli paket Mingguan , karena pemakaian Kouta saya boros,ehhh sekarang Kouta Mingguan nya malah di ilangiin,ruksakkk lebih better Smartfren deh di banding telekomsel,",1
"min ini karyawannya GK korupsikan? Kok harga paketku yg sekarang malah naik? sebulan lalu harganya normal loh, 110 GB harganya 120 an, kok sekarang jadi 150 an? Tolonglah, kembalikan harga normalnya, padahal sering beli yg 110 GB itu min, tolong gimana ini. Masa makin naik aja, sebelumnya pake e-sim juga seperti itu. Tolong banget.",3
jaringan bagus,5
Pulsa nya mau hilang sendiri,1
banyakin promo please,5
kartu taik kartu lemot!!!,1
"aplikasinya sering eror lama kebuka nya,,",5
bagus dan sangat puas,5
"aplikasi ini semakin ke sini semakin lemot aja, mending dipisah lagi dari my Indihome seperti dulu aja gak sih? mohon diperbaiki website nya, ditambah kecepatannya. Perusahaan besar harusnya bisa dong yang kenceng",3
kuota banyak tapi refresh ga selesai-selesai,1
telkomsel anj masa gk bisa claim kuota jelajah nusantara mending hapus ajalah aplikasi gk jelas mahal bnget,1
kerja bagus,5
"sangat membantu, meski belum pernah dapat hadiah undi undi Happy , tapi ngga apa apa, trims banyak....",5
"tiap buka aplikasinya loading ga jelas, mana loadingnya ga jelasnya ga berenti"" padahal sinyal bagus dan buka aplikasi lain ga ada masalah",1
aplikasi puqi,1
"makin kesana aplikasi ini makin berat di gunakan, entah apa yang terjadi padahal ukuran aplikasinya kecil muatan datanya juga gak banyak² amat, lebih cepat buka aplikasi Mobile Legend sama PUBG dari aplikasi my Telkomsel, tolong di benahi dong, kalau ada perubahan ratingnya di revisi. terimakasih",1
jaringan sangat tidak stabil,1
"download hapus download hapus download hapus gitu gitu aja,provider mahal aplikasi murahan.terimakasih",1
"sinyal lebih bersahabat,lancar tanpa gangguan, walaupun harga kuota agak mahal tetap di telkomsel., untung* di banyak in promo 😁",5
mantab mempermudah transaksi,5
lemot,1
Tidak Akurat,1
"kartu aku udah 9 tahun tapi paketnya masih mahal,kayak beli kartu baru harga paket aku mahal. Legnya parah. Tolong di tingkatkan lagi Telkomsel dan Mohon saran dari saya kalau kartu Telkomsel udah lama tolong di murahin paketnya. Terimakasih...",3
"sangat lelet, padahal jaringan bagus, menjengkelkan.",2
Aplikasi BURUUUUK,1
Apasih makin lama apknya makin ga jelas. Gabisa cek kuota. Sdh jelas jelas paket kuota habis tpi di beranda apknya paket msih utuh blm berkurang sama sekali. lah? Beranda ngebug stuck disitu terus ga berubah² nominal pulsanya. Makin lama makin di persulit. Tolong dong di perbaiki lagi.,1
Baguss,5
lemot parah 🫵🏼,1
"NAJIS BANGET PAKEK TELKOMSEL, HARGA MAHAL TAPI LEMOT",1
angat baik untuk kuu,5
"belakangan ini aplikasi ini lemot sekali untuk cek kuota pakai data tsel, padahal kuota 80GB sinyal pun di lokasi yg kencang bisa belasan mbps, sudah hapus cache pun masih lemot, harus konek wifi dulu baru lancar atau instal ulang aplikasi baru normal tapi itu juga bentaran doank... kalah ngebut sama aplikasi myxl tapi paling mahal",1
"sudah beberapa hari ini aplikasi kalian kek sampah,,Tidka bisa memuat semuanya,,aneh..coba hasil kami beli pulsa juga dipakai untuk upgrade aplikasi... ini Tidka bisa dibuka sama sekali,,nyarinuntungnya parah amat,,tunggu wifi masuk ke t4 kami, tak akan lama lagi, foya2 saja kalian,,serupiahpun tak akan kami beli pulsa lagi..",2
aplikasinya sangat lemot..waktu masuk aplikasi tdk langsung menampilkan menu..loading nya terlalu lama..update juga terlalu sering..hadehh,2
"so far so good lah,minus di aplikasi aja,mohon ditingkatkan terkadang suka stuck loading padahal kalau buat internetan lancar bagus",5
ganti kartu lah timbang pusing,1
"Tidak disarankan buat push rank. percuma juga beli paket game boost, ga terlalu berpengaruh. Browsing stabil ok max 5 Mb/s stabil buat streaming ok lah lancar. tapi buat game online busuk padahal sebelumnya lancar ga pernah mendapat ping yg tinggi. sangat tidak stabil buat game online.",1
Sangat rumit d tambah lagi saat membuka aplikasi nya begitu lama padahal jaringan selalu full... dan saya udh lama jdi pelanggal Telkomsel knpa promo nya mahal sekali gak di kasih diskon yang sesuai... di tambah gak ada murah² nya ni Telkomsel mahalll bett dh 3GB 50k 30 hari kan harga nya gak ngotak..,1
"makin gaje mau claim reward, di apk nya ter claim tapi ada pesan masuk reward gagal dasar kikir",2
"buka app susahnya minta ampunnn. muterrrrr aja. tolong dibenahi,masa mau cek2 di app ga bisa2",1
"isi pulsa masa aktif tidak bertambah,.. ada event reward tidak terpakai...",1
"telkomsel sampah,. kapok w pake telkomsel simpati,,. pulsa w hilang tanpa jejak terus",1
FITUR JAGA PULSA SUDAH AKTIF..KENAPA PULSA TETAP DI SEDOT..??,5
"*363# paket langgananku udah ilang, tinggal paket yang harganya di atas 10k semua. dan aku sudah aktifkan jaga pulsa, masih aja kesedot 4k saat paket habis!!!",1
baik,5
aplikasi susah dibuka padahal jaringan bagus,1
kenapa paket super seru di saya gak ada ini paketnya mahalnya semua,3
mantap 👍🏻,5
terlalu lag dan lain lain,4
udah mahal... jaringan lemot parah.. najis,1
"siapa yang setuju kita patungan beli rudal, lalu kita sesarin ke kantor Telkomsel",1
"Jaringan Telkomsel Skarang parah"" susah signl dari mna"" Skarang paket mahal"" tapi Jaringan nya Jelek Lagi dikit"" leg ah parahh.. Telkomsel ajig",3
aplikasinya suka lama loading!! urgent mau beli kuota pun lamaaa bgtttt,1
ok,5
sangat terpecaya,5
tidak mau terbuka padahal jaringan bagus,1
"SEMUA PAKET NYA KAGA ADA YG BERES, SERBA DI BAGI² APALAH, udh gitu aplikasinya lemot parah cuk,",1
"mending mikir 2 pakai Telkomsel, apa lagi download aplikasinya, sering error buat transaksi tidak bisa,mau beli kuota lewat ewalet/perbankan sering gangguan... sinyal atau aplikasi nya error parah",1
"aplikasi tidak stabil, susah dibuka",1
bagus,5
aplikasinya sangat lelet,1
ketika berada diekstrak gembira gak bisa dibukak .terjadi kesalahan pada halaman ini ngestack kadang ngeputih kadang gak bisa dibukak,1
telkomsel makin jelek sinyal gak bagus apk my telkomsel sangat buruk 👎👎👎,1
terbaik,5
suka tiba tiba drop bgt sinyal nya,1
lemot,1
apk nya tolong dong utuk masuk aj nglek gimn mau beli konta,1
knapa aplikasi tidak bisa terhubung ke Indihome,2
"lemot ga bisa nampilin kuota yg sesungguh nya,,",1
APK KALIAN SAMPAH!,1
error hari ini,1
Bentar lagi saya ganti bintang kasih tiga dulu ya karena sering macet buka paketan bolak balik Uninstall-Download lagi percuma ya,3
huhhh saran jaringan di benerin dah itu aja sama harga di patok sesuai standar sama kulitas biar lebih baik,3
"udah jaringan lambat, mahal lagi.",1
jelek banget,1
"undi undi hepy itu bohong tanpa ada kenyataan, dari dulu tukar poin juga zonk, tidak ada kenyataan, paling yg dapet lho pegai sama orang dekat telkomsel",1
dari jaman launching smpai sekarang ngbug mulu,1
lemot amat aplikasinya,4
jgn berlagganan wifi indihome . nanti nyesel. awal nya. bilang jika berlanggan 1 taon lebih. kalau mau stop langganan aman gratis bla2. tau2 nya pas mau stop berlangganan wifi. ribet amat suruh bayar denda . ini itu. . 🐕🐕🐕🐕🐕🐕,5
mantap,5
sinyal tolong di perbaiki,5
"aplikasi Tidak bagus saya melakukan pembelian paket data tadi pagi pembayaran Via BRIVA, paket data sampai sekarang belum masuk",1
"pelayanan bagus , tapi untuk jaringan suka lemah terus",5
"jaringan si oke tp aplikasinya, mau ngecek kuota pasasa berlaku mau habis sulit minta ampun, apakah biar kuota hangus 😂 mau beli paket data sulit minta ampun juga",1
padahal sinyal bagus kok loading terus,1
mantaf,5
sering error 🙏,1
bagus,5
my telkomsel memang terbaik,5
jaringan ga stabil,1
muter muter aja. tak kira aplikasi dibidang ginian bakal. ringan dan mudah.,2
Telkomsel semakin banyak pengguna sinyal gak karuan.. padahal saya pengguna lama. udah kaya warteg kalo laris dan ramai buat telor dadar dari telor satu butir jadi 3 telor dadar.. makin ngacoo. Kalau larisss tetaplah stabilkan sinyalnya biar para pengguna tidak pindah pindah..,1
propesor,5
"makin gk beres nih apk pilihan paket data lama"" makin aneh tolong telkom perbaiki pilihan paket nya",1
"kena apa my telekmsel loading terus, bisa masuk selalu hapus semua data dsterusnya",3
gak bisa login 🙈,1
"aplikasi suka ngebug tba"", udh kita ngumpulin stamp ktnya dpt kouta ternyata gaada samsek. harganya terlalu mahal pelit, trs reward koutanya juga cmn sebentar doang, gila kali 25gb sehari, minimal 3 harian lahh. trs reward koutanya tuh minimal 2x, gsh sekali, plissd lah gausah pelit"" mahal"" apalagi jaringan suka ngelag",2
aplikasi makin gak jelas. Krn gak bisa d buka..yg lain,5
huuuh sulit sekali,2
ngeselin banget sih... cek kuotta ajah loading terus.... haduuuuuuhh,1
my Telkomsel tipu2 banyak rugikan customer,1
Sangat bagus konsisten terus,5
semoga beruntung,5
"Semoga ada paket Vidio platinum Tahunan mobile biar lebih mudah tidak beli perbulan. Semoga bisa ada dan harganya miring, Untuk aplikasi Telkomsel sudah bagus dan banyak perbaikan + fiturnya.",5
"kaya sering blank gitu, harus instal ulang.",4
ngelek kali .,1
"aplikasi nya lelet sudah di perbaharui dan di refresi masih lelet, kemudian promo nya juga mahal",1
makin korup aja Telkomsel serba mahal cuman manis di awal yukk pindah ke M3dosat lebih murah,1
"malesin banget sinyalnya sering ilang bikin emosi, mahal doang kualitas jelek",1
apk lelet,1
sinyal semakin susah sehingga sisa kuota sering hangus karena tidak di pakai harapannya di benerin lagi sering eror saat masuk log in dan untuk kedepannya pembaruan sering di perbarui cumak sering log out sendiri,1
"apk terburuk yg pernah saya download. ngapa2in susah, udahah mahal paketan nya, apk nya eror. otomatis pindah provider.",1
tambah hari bukan tambah bagus jaringannya yang ada harganya yang tiap bulan naik sementara pelayanan jaringan kaya taiii,1
Kuota mahal jaringan murahan,1
internetnya tambah mahal mau ganti kartu lainnya sajaaa kecewa diri q bertahun tahun pake telkomsel tambah tahun tambah mahal&sangat mahal,1
udah lemot paket mahal pula,1
jaringan babi lelet mahal lagi,1
aplikasi aneh seharian g bisa d buka,1
"sinyal paling buruk paling mahal,, sinyal lag Jaringan susah admin juga buruk bukanya perbaiki malah suruh kesana kesini",1
"cek kuota sering gagal, sisa kuota tidak sesuai dengan pemakaian. susah mencek sisa kuota",2
sinyalnya tlong diperbaiki lagi.,4
"seandainya ada sinyal kartu lain d tempat ku. ga mau pke Telkom. udh mahal banyak kebijakan"" yang merugikan. keuntungan hanya sebelah pihak.",2
jaringan jelek . gak stabil . makin hari makin ancur mau uang aja .. performa gak di perbaiki mudahan bangkrut Telkomsel .Telkomsel bangkrut aku sedekah ke mesjid..,1
lambat cs nya,1
"aplikasi gak berjalan dengan lancar, pelayanan nya kepada customer sangat tdk baik dan lambat menanggapi pengaduan customer. Rating : -1000/10.",1
"aplikasi lemot, sering eror",2
"aplikasi kntl, ui/ux berat anj",1
ngalg banget bgst ngecek paket aja kaga bisa. sumpahlah aplikasi apaan ini,1
"aplikasi stuck di loading😡 Harga mahal signal jelek lagi, signal bagus mah gapapa, lah ini udah jelek, mahal, aplikasi error terus tolong di fix secepatnya! udah aku clear cache, sama paksa berhenti tetep ngga bisa. akhirnya aku uninstall aplikasinya trus download ulang baru bisa>:(",1
"Saya ada oembelian gagal namun saldo kepotong dari tgl 20 kemaren,sudah di laporkan ke cs taoj sampe sekarang masih belum masuk terus tolong lah di percepat",3
sangat membantu,4
makin mahal sinyal gk jelas ilang²an,1
aplikasi ini banyak kali biaya admin(mungkin cuman saya) masuk kena potong pulsa 2000 pas beli paket dipotong 2000 ngambil kuota gembira potong akh semuanya dan satu lagi ni aplikasi udah kek shopee tingkat kelancarannya behh jangan ditanya sering ngefreeze cok lah tolong perbaiki😠 salam dari binjai😂,1
jaringan nya🤮,1
"masuk aplikasinya lemot bet,masuk aplikasi lain malah cepet perbaiki secepatnya min",1
"apk busuk, harga doang mahal, server zonk cok!",1
"hei my telkomsel, apk lu udah bertahun2 msh aja lemot buka menu menu nya. kurang kaya apa lagi lu sampe gak bisa maximalkan performa apk lu?",1
jaringan paling top,5
apk sampah,1
"jaringan internet yang sangat buruk..bahkan untuk 4G dan 5G di kota.dengan kecepatan 0,00 kb/s.paling kencang pun cuman 0,56 kb/s.sangat mengecewakan.belum lagi buka aplikasi mytelkomsel sudah lama banget ngga' bisa²..sampe kehilangan stamp berapa tuch..intinya bintang ngga' bakal sy naikkan.cukup bintang 1 aja.buat yg lain sy saranin buat ngga' usah pake telkomsel dech,,rugi banget",1
Internet nya susah,5
ok banget,5
puas pake Internet Telkomsel...,5
aplikasi nge bug.. rusak eror gak guna . . mb aja di gedein kualitas nol,1
lama2 telkomsel makin jelek aja pulsa kepotong sendiri ada kiriman dari 99386 dan 99677 di stop balasnya anda sedang tidak berlangganan tapi pulsa saya di sedot jg 2200 stiap hari ada apa maksudnya ini telkomsel ditanya di aplikasi ini tidak memuaskan dari sisa kuota aja nga update terpaksa saya cek di 888 tolong selagi masih pake ini kartu tlg diperbaiki,1
aplikasi botot,5
"aplikasi ini buruk sekali , kalau tinggal sedikit dibilang jaringan tidak stabil.makanin pulsa Mulu🤮",1
jelek sekali,1
"apakah jaringan nya juga sering gak bagus kocak lah, katanya si paling bagus",2
pelayanan ramah,5
Loadingnya parah apk apa sih ini.gak jelasss.,1
lag,1
apk lemot,1
"Plis paket internet sakti ini apa,scam dari telkomsel kah masa saya beli paket internet sakti 33k dapat 7GB nasional dan 5 Gb apps(untuk line, WhatsApp,ig, YouTube dll..)tapi saat Kouta nasional habis kouta yang sisa 5Gb ini tidak berguna hanya sebagai gimmick nambah harga,saya gabisa youtube ig dan lainnya cuma bisa WhatsApp aja gausah scam tinngal kasih tau 5 gb WhatsApp aja tau saya kebanyakan itu 5Gb plis ganti promo yang lebih realistis aja buat nomer saya sesuai kebutuhan.⭐👎",3
ngelag di penajam,1
"harga paketan ber ubah""",1
sangat membantu,5
Gajelas gabisa bikin tiket buat masalah,1
"buka apk ngebug mulu, makin kesini makin jelek jaringan Telkomsel. Mahal doang tapi lag. tolong perbaiki jaringannya",2
mahal doang bagus kagak tu jaringan,1
oke,5
"ini apk apa sih, test speed indihome ngakunya 15 mb, pas ditest malah 100kb taik taikk sampaah",1
"loading nya lama bgt, enth makin lama apk nya makin jelek 💩💩",1
bagus,5
sangat lambat susah loading,1
oke,5
mantap,3
harga paket doang mhl sinyal lemot parah kan lucu,1
"beli paket, dari dana udah terkirim tapi kuota ga masuk kek mana ini min",1
baik,5
"apa banget sinyal ilang ilangan mulu dah ,",1
pulsa udah kepotong tapi kuotanya kagak masuk,1
provider terburuk,1
ok banget 👍,5
Telkom Lelett Macam Siputt,1
setuju gk (telkomsel) masuk (neraka),1
informatif,4
vangst,3
"apk paling berat ini, kalo dibuka force close mulu, apk WUWA ge kalah berat. Ampas bet kebanyakan dikorup",1
apk rusak,1
tolong Update agar sistem nya terhubung pada server jarang bgt bisa muncul status nya,1
aplikasi cacat,1
sering ngaco pada saat kuota tinggal sedikit ngak bisa buat cek,1
mantap,5
harga selangit kualitas sinyal sulit udah lemot banget lagi,1
harga mahal sinyal ga jelas bgt #pindahkartu,1
nice,5
lodingya lam bikin sakit hati,1
internet lancar buka apk lain tapi pas buka apk my Telkomsel malah kayak gak punya internet. gimana sih yolong perbaiki,1
"banyak promo pas mau di beli ga bisa, kaya drakula suka nyedot pulsa, huh parah",1
